pl_name,VAE_anomaly,ESI_equal,CDHS,SEPHI_simple,pl_rade,pl_dens,pl_insol,st_teff,pl_orbeccen
Kepler-1447 b,0.0063211118184352474,0.0,0.0,7.985047684024452e-122,2.9,0.3575317604355717,10.349,5722.0,0.0
Kepler-472 b,0.006314004706880675,0.0,0.0,0.0,3.22,0.3139745916515427,139.236,4996.0,0.0
Kepler-368 c,0.006307282061342523,0.0,0.0,0.0,3.88,0.24500907441016337,28.681,5502.0,0.0
TOI-1288 b,0.0063037014293826875,0.0,0.0,0.0,4.96846551,0.3575317604355717,1198.41,5388.0,0.0
Kepler-178 c,0.00629963371845277,0.0,0.0,0.0,2.88,0.36116152450090744,30.546,5676.0,0.0
Kepler-1925 b,0.006296162000782359,0.0,0.0,0.0,3.00177922,0.3430127041742287,18.74,5856.0,0.0
Kepler-107 e,0.0062919289282285336,0.2733670868466243,0.08783458887640652,0.0,2.903,0.5771324863883848,138.7,5854.0,0.1
Kepler-458 c,0.006286980276274765,0.0,0.0,0.0,4.2,0.22141560798548096,279.787,6117.21,0.0
GJ 143 b,0.006276025174669045,0.44596195476228095,0.055404178019976255,6.798662741099161e-45,2.61,1.2704174228675136,7.0423,4640.0,0.188
Kepler-307 c,0.006275876341161577,0.0,0.0,0.0,2.2,0.31578947368421056,44.0,5367.0,0.0
14 And b,0.006269773299933473,0.0,0.0,0.0,13.1,0.5009074410163339,115.1634,4888.0,0.0
HD 219666 b,0.006262340434152154,0.17216530624806084,0.07944649249343384,0.0,4.898,0.15789473684210528,598.4408,5540.0,0.05
Kepler-306 e,0.006261307889935518,0.0,0.0,3.67401026074704e-31,2.27,0.49183303085299457,6.185,4954.0,0.0
Kepler-384 b,0.006253899861858167,0.0,0.0,0.0,1.12,1.0362976406533575,101.549,5577.0,0.0
Kepler-314 c,0.0062494246794787935,0.0,0.0,0.0,2.9,0.3575317604355717,149.977,5378.0,0.0
Kepler-894 b,0.006247455596304073,0.0,0.0,0.0,2.78,0.37749546279491836,119.881,5603.0,0.0
Kepler-1361 b,0.006247377820455436,0.0,0.0,0.0,0.86,0.8874773139745916,186.069,5131.0,0.0
Kepler-292 e,0.006245932407368135,0.0,0.0,0.0,2.67,0.3992740471869329,50.924,5299.0,0.0
Kepler-815 b,0.006241184923851627,0.0,0.0,0.0,4.11,0.2268602540834846,979.136,5028.0,0.0
HD 69830 b,0.006234504015001236,0.2646504281699965,0.0753058716674516,0.0,3.17,0.3194192377495463,97.7824,5385.0,0.1
Kepler-1770 b,0.00622519010932282,0.0,0.0,0.0,2.84141754,0.3666061705989111,56.43,5602.0,0.0
K2-98 b,0.006223955537324161,0.17936971453009637,0.09868034407220898,0.0,5.06645928,0.2540834845735027,339.0,6260.0,0.119
Kepler-1477 b,0.006223068111412071,0.0,0.0,0.0,1.18,1.0689655172413792,78.163,5100.0,0.0
Kepler-1202 b,0.006217051001400039,0.0,0.0,0.0,2.94,0.35208711433756806,23.876,5834.0,0.0
HD 213885 c,0.006206277009306937,0.0,0.0,0.0,4.71,0.19056261343012706,426.5327,5978.0,0.0
HD 125612 c,0.006205562054208241,0.1678554062460105,0.08906341828282228,0.0,4.07,0.23049001814882034,441.4278,5900.0,0.149
Kepler-395 b,0.006204622864542217,0.0,0.0,0.0,1.03,0.985480943738657,17.8,4262.0,0.0
Kepler-1910 b,0.0061767594489761666,0.0,0.0,0.0,1.184,1.0689655172413792,40.88,4234.0,0.0
Kepler-1665 b,0.006172517002660209,0.0,0.0,0.0,2.83910787,0.3684210526315789,40.4,5049.84,0.0
Kepler-196 c,0.00616694837147446,0.0,0.0,4.172854013106833e-42,2.24,0.5009074410163339,6.88,5128.0,0.0
Kepler-271 b,0.0061476812002884355,0.0,0.0,0.0,1.23,1.0925589836660616,75.957,5555.0,0.0
Kepler-221 c,0.006139651200066402,0.0,0.0,0.0,2.93,0.35208711433756806,119.836,5243.0,0.0
Kepler-1791 b,0.006132255855835215,0.0,0.0,0.0,3.12103321,0.32486388384754994,257.14,5887.0,0.0
Kepler-102 e,0.006130492418812593,0.40379362894116355,0.06259015867926389,0.0,2.17,0.4537205081669692,20.3,4909.0,0.089
Kepler-388 b,0.006124014329721789,0.0,0.0,0.0,0.81,0.8584392014519058,112.21,4498.0,0.0
Kepler-228 d,0.006123097723938604,0.0,0.0,0.0,4.04,0.23230490018148822,122.778,6043.0,0.0
Kepler-619 b,0.00611234654614389,0.0,0.0,0.0,3.16,0.3194192377495463,224.146,5980.0,0.0
Kepler-186 c,0.006106792384142281,0.0,0.0,4.542644734036544e-250,1.25,1.0725952813067152,13.98,3788.0,0.0
Kepler-811 b,0.006106158260314739,0.0,0.0,0.0,2.7,0.3920145190562614,78.59,5747.0,0.0
HD 142245 b,0.006098710946825337,0.0,0.0,0.999999999968215,13.1,0.43375680580762255,1.7468,4922.0,0.0
Kepler-166 c,0.0060962298307487605,0.0,0.0,1.8761323653340376e-126,2.38,0.4627949183303085,10.507,5413.0,0.0
K2-90 c,0.006093079076137299,0.3119607568897556,0.04958006090719205,0.0,1.3,1.0163339382940109,80.8,4421.98,0.19
Kepler-1419 b,0.006092357246520781,0.0,0.0,0.0,2.86,0.36479128856624315,21.243,5796.0,0.0
Kepler-590 b,0.0060635914429288534,0.0,0.0,0.0,4.02,0.2341197822141561,782.415,6000.0,0.0
Kepler-1246 b,0.006047358563341411,0.0,0.0,0.0,1.36,0.9600725952813067,26.451,4611.0,0.0
Kepler-1858 b,0.006029216611357393,0.0,0.0,0.08076560196262583,2.42168247,0.45190562613430135,2.79,4939.0,0.0
Kepler-1241 b,0.006029032110263534,0.0,0.0,0.0,2.63,0.4065335753176044,31.456,5261.0,0.0
Kepler-1944 b,0.0060235679072770856,0.0,0.0,0.0,2.75971163,0.38112522686025413,97.62,5585.0,0.0
Kepler-1929 b,0.006023430816139931,0.0,0.0,0.0,3.07250761,0.33212341197822143,37.2,5786.0,0.0
Kepler-430 b,0.006019489049307254,0.0,0.0,0.0,3.25,0.308529945553539,40.844,5884.0,0.0
Kepler-398 c,0.0060189959868503316,0.0,0.0,0.0,1.01,0.9782214156079855,20.556,4493.0,0.0
Kepler-28 b,0.00599838979190119,0.0,0.0,0.0,1.959,0.2151410163339383,62.577,4499.3,0.0
TOI-5076 b,0.0059933709925256715,0.0,0.0,9.366842952022723e-205,3.48935569,0.37749546279491836,12.8373,4780.0,0.0
Kepler-169 d,0.005987859219139741,0.0,0.0,0.0,1.25,1.0725952813067152,55.53,4997.0,0.0
HD 77338 b,0.0059866410696662415,0.2240806311598475,0.07413046962652478,0.0,4.12,0.2268602540834846,152.7909,5341.0,0.09
