pl_name,pl_rade,pl_masse,pl_dens,pl_insol,st_teff,pl_orbeccen,pl_eqt,ESI_equal,ESI_sm,CDHS,mass_est,SEPHI_simple,recon_error,latent_dist,VAE_anomaly,mass_est_planet
K2-54 b,2.6116925,,0.4101633393829401,6.1,3990.0,0.24,560.0,0.39524394550556907,0.1308895004930226,0.038040284233578386,30.606352462620055,6.1726632962783956e-30,0.67443454,0.780778138327145,0.022720801559516515,7.306728426658179
TOI-700 e,0.953,,0.9419237749546281,1.27,3459.0,0.059,272.9,0.7728010682478793,0.7013741277888782,0.02385531869423364,3.4149399419735564,0.8672744701253058,1.4909842,0.59800292631424,0.02269496017342657,0.8152568581905627
Kepler-1097 b,3.26,,0.308529945553539,1.3,5211.0,0.0,267.0,0.0,0.0,0.0,44.775323473123294,0.9883546844459962,0.3993975,0.8270934436961862,0.022353578139392725,10.689321088929217
Kepler-1620 b,1.61,,0.7695099818511797,7.92,6157.0,0.0,428.0,0.0,0.0,0.0,13.451802895897226,1.265460118912994e-61,0.45741826,0.8134264116151396,0.022334983742909147,3.2113813865698737
Kepler-1277 b,1.6,,0.7767695099818512,12.11,5578.0,0.0,496.0,0.0,0.0,0.0,13.327255612574529,2.650809905493523e-178,0.35187835,0.8364445443564343,0.022323389848771788,3.1816479128856634
GJ 180 c,2.41,,0.455535390199637,0.7812,3371.0,0.09,290.87,0.5945335065183858,0.5585627867339692,0.02150451461238197,26.709260241159793,0.9803148706720477,1.1149307,0.6650373867678246,0.02228428409264762,6.3763661905626146
Proxima Cen b,1.02,,0.9909255898366607,0.641,2900.0,0.0,218.0,0.0,0.0,0.0,4.404840310163271,0.894623888780097,2.0330358,0.4586344899507486,0.022233146195882757,1.0515781633393833
Kepler-610 c,3.3,,0.30308529945553536,2.297,5943.0,0.0,318.0,0.0,0.0,0.0,45.6242040824523,0.6946479924928516,0.3381325,0.8327412053332632,0.02215667064289249,10.891976406533574
K2-18 b,2.37,8.92,0.7459165154264974,1.005,3457.0,0.2,284.0,0.5665503314832829,0.6002318028518394,0.023801891328736585,41.59334710368583,0.9940860770597135,1.2085,0.6292564084128515,0.021915551970830283,9.929680186932853
Kepler-1700 b,2.90129941,,0.3575317604355717,2.2,6031.0,0.0,329.0,0.0,0.0,0.0,36.57470952745308,0.8398146900551512,0.3601442,0.8041910998871895,0.021573587273084605,8.731568720166598
Kepler-378 c,0.7,,0.7876588021778584,8.166,4661.0,0.0,414.0,0.0,0.0,0.0,1.131672754019803,6.561493283969877e-67,0.96000373,0.6702091747357163,0.021561744980608765,0.2701669691470054
TOI-700 d,1.073,,1.0090744101633393,0.85,3459.0,0.042,268.8,0.8223561941460674,0.7767233047069754,0.023855318694233702,5.221688590446678,0.9105000545928659,1.5263267,0.5415666776943213,0.02149753192026218,1.2465863256842102
GJ 667 C e,1.45,,0.883847549909256,0.3022,3350.0,0.02,,0.7501193534759295,0.384618015618442,0.020943527274668656,11.286777880287813,0.950013737479315,1.6535809,0.5132097398166152,0.021496646720310437,2.694519736842105
GJ 1061 d,1.16,1.67,1.0671506352087115,0.6,2953.0,0.04,242.03,0.7683120562524333,0.6080701034558962,0.010338195223593647,6.977314582192869,0.9351365219959505,1.9179119,0.4537694802459066,0.02148155564272774,1.6657111578947366
Ross 128 b,1.11,,1.0217785843920146,1.38,3192.0,0.116,301.0,0.6759811604928719,0.5909209819107828,0.01672276540043765,5.8534827340917035,0.9203847506106305,1.5895612,0.5267339191669106,0.02147880521668517,1.3974160671506357
