pl_name,pl_rade,pl_masse,pl_dens,pl_insol,st_teff,pl_orbeccen,pl_eqt
"TOI-1295 b",15.69257298,4.51316337940000e+02,0.650000,1800.0000,6280.00,0.024000,2360.00
"NGTS-15 b",12.32987877,2.38689133657000e+02,0.740000,425.0000,5600.00,0.000000,1146.00
"HD 62509 b",13.30000000,,1.710000,15.2164,4892.63,0.020000,549.60
"HD 81817 b",12.00000000,7.66856380409600e+03,24.400000,174.4020,4140.00,0.097000,1016.37
"Kepler-1941 b",2.64976949,,2.220000,46.5300,6404.00,0.000000,666.00
"Kepler-1691 b",1.83470985,,3.580000,641.5300,6000.00,0.000000,1283.00
"TOI-2184 b",11.39953337,2.06588464550000e+02,0.760000,1429.0000,5966.00,0.080000,1676.05
"K2-254 b",1.63000000,,4.170000,74.9905,4629.00,,791.00
"OGLE-2016-BLG-1598L b",13.60000000,1.20774794660000e+02,0.264000,,,,
"Kepler-180 c",3.01000000,,1.880000,16.4230,5731.00,0.000000,540.00
"Kepler-1316 b",3.54000000,,1.520000,10.7140,5884.00,0.000000,446.00
"OGLE-2018-BLG-1212L b",9.32000000,6.35656814000000e+01,0.431000,,,,
"Kepler-1542 b",0.76000000,,4.540000,518.4370,5564.00,0.000000,1160.00
"Kepler-1311 d",9.65837605,,0.412000,6.0000,5616.00,0.000000,391.00
"Kepler-1866 b",2.08215108,,3.040000,114.3600,5791.00,0.000000,834.00
"K2-165 d",2.64809498,,2.220000,37.0819,5185.00,,629.38
"TOI-2018 b",2.26800000,9.20000000000000e+00,4.330000,26.0758,4174.00,0.000000,576.34
"HD 155918 b",2.67000000,,2.200000,1153.7389,5771.84,0.194000,1622.13
"DMPP-2 d",11.60000000,,0.323000,61.9324,6500.00,0.100000,1105.06
"Kepler-300 c",2.25000000,,2.740000,43.2480,5986.00,0.000000,516.00
"Kepler-1392 b",1.96000000,,3.280000,61.4200,5479.00,0.000000,714.00
"TOI-669 b",2.58606487,1.00000000000000e+01,3.170000,388.2000,5597.00,0.000000,1124.85
"Kepler-347 b",1.97000000,,3.260000,180.5490,6088.00,0.000000,908.00
"WASP-184 b",14.90797000,1.81163100000000e+02,0.320000,669.0180,6000.00,0.000000,1480.00
"TOI-4559 b",1.41500000,,5.020000,15.7700,3558.00,,554.16
