pl_name,pl_rade,pl_masse,pl_dens,pl_insol,st_teff,pl_orbeccen,pl_eqt
"HD 80653 b",1.62100000,5.61000000000000e+00,7.240000,6130.0000,5959.00,0.000000,2438.00
"K2-312 c",12.80000000,,4.410000,0.4596,5959.00,0.843500,229.00
"XO-2 S d",13.00000000,,2.950000,0.0253,5325.00,0.091000,110.98
"Kepler-1808 b",3.02511302,,1.870000,30.9400,5530.00,0.000000,601.00
"Kepler-418 b",13.45000000,3.49611247700000e+02,,8.8770,5820.00,0.200000,434.00
"Kepler-249 d",1.57000000,,4.390000,4.4740,3568.00,0.000000,332.00
"OGLE-2017-BLG-0364L b",10.30000000,7.58000000000000e+01,0.381000,,,,
"Kepler-1408 b",0.89000000,,4.990000,1982.2680,6170.00,0.000000,1616.00
"HR 8799 b",13.00000000,2.00000000000000e+03,5.000000,0.0011,7204.58,,1200.00
"Kepler-500 b",2.58000000,,2.300000,193.6800,5813.00,0.000000,909.00
"CoRoT-17 b",11.43000000,7.72290000000000e+02,2.820000,640.9232,5740.00,0.000000,1626.00
"OGLE-2017-BLG-0373L b",14.00000000,1.27000000000000e+02,0.254000,,,,
"CoRoT-7 d",4.31000000,1.71420000000000e+01,1.180000,,5250.00,,
"Kepler-1685 b",2.57673985,,2.300000,36.0100,5484.00,0.000000,625.00
"Kepler-296 b",1.61000000,,3.000000,6.5000,3740.00,0.330000,495.00
"TOI-1744.01",2.68000000,,2.180000,63.3100,6179.00,,598.00
"KMT-2021-BLG-1547L b",13.60000000,4.67207758290000e+02,1.020000,,,,
"TOI-4377 b",15.10970598,3.04161785499000e+02,0.881000,430.9826,4974.00,0.045000,1162.08
"HD 64114 b",4.41000000,,1.140000,12.0441,5676.00,0.120000,518.51
"TOI-858 B b",14.06727078,3.49611247700000e+02,0.690000,908.9000,5842.00,0.150000,1529.00
"HD 27969 b",12.90000000,,3.910000,0.7600,5966.00,0.182000,261.00
"Kepler-1947 b",1.01016660,,5.380000,229.4000,6040.00,0.000000,1298.00
"Kepler-81 d",1.21000000,,5.960000,7.5070,4500.00,0.000000,418.00
"Kepler-900 b",2.08000000,,3.040000,54.1090,4836.00,0.000000,716.00
"TOI-1296 b",14.11645916,9.53000000000000e+01,0.190000,1078.5987,5567.00,0.000000,1414.84
"HD 24040 b",12.90000000,1.58914203500000e+03,4.070000,0.0779,5802.00,0.040000,143.81
"Kepler-638 b",1.83000000,,3.600000,872.5670,5382.00,0.000000,1111.00
"Kepler-375 b",1.45000000,,4.870000,64.4440,5826.00,0.000000,851.00
"Kepler-1590 b",1.14000000,,5.750000,171.4780,6053.00,0.000000,1020.00
"Kepler-666 b",2.40000000,,2.520000,575.6440,5887.00,0.000000,1133.00
"Kepler-586 b",2.79000000,,2.070000,705.0510,5575.00,0.000000,1365.00
"HD 180053 b",13.30000000,,1.630000,17.6730,5131.00,0.081000,542.98
"Kepler-1827 b",1.85644292,,3.520000,1113.4000,5423.00,0.000000,1329.00
"Kepler-83 b",2.83000000,2.94000000000000e+00,0.520000,15.4120,4082.00,0.000000,460.00
"TOI-1410 c",5.63000000,,0.831000,4.1841,4635.00,0.000000,397.45
"Kepler-578 b",2.00000000,,3.200000,496.8980,5334.00,0.000000,1774.00
"TOI-3807 b",18.49481816,3.30541543280000e+02,0.289000,1230.0000,5772.00,0.000000,1646.00
"K2-392 b",1.85000000,,3.540000,,5726.00,,
"UKIRT-2017-BLG-001L b",13.70000000,4.07000000000000e+02,0.870000,,,,
"Kepler-239 b",2.33000000,,2.620000,34.7460,4914.00,0.000000,616.00
"Kepler-1812 b",2.32494240,,2.630000,270.3400,6174.00,0.000000,1034.00
"HD 191939 c",3.19500000,8.00000000000000e+00,1.350000,21.0000,5348.00,0.034000,600.00
"Kepler-931 b",1.33000000,,5.440000,72.4400,5241.00,0.000000,744.00
"Kepler-501 c",1.68119739,,4.010000,683.8400,5794.00,0.000000,1304.00
"TIC 38825265 b",2.18869476,,2.850000,,4375.52,,
"Kepler-1664 b",3.03320653,,1.860000,85.4600,5735.81,0.000000,776.00
"WASP-105 b",10.76064000,5.72094000000000e+02,2.650000,166.5368,5070.00,0.000000,900.00
"Kepler-58 b",2.78000000,3.55000000000000e+01,10.100000,112.9920,5843.00,0.040000,920.00
"GJ 887 b",1.80000000,,3.670000,7.8000,3688.00,0.140000,426.00
"TOI-1759 b",3.14000000,1.08000000000000e+01,1.910000,6.3900,4065.00,0.000000,443.00
"HIP 70849 b",12.90000000,1.43022783150000e+03,3.660000,0.0056,4105.00,0.650000,78.85
"KOI-142 b",3.43800000,9.50000000000000e+00,1.290000,68.5630,5466.00,0.055610,758.00
"Barnard c",0.74300000,,4.490000,4.7285,3195.00,0.080000,400.00
"HATS-62 b",11.82549500,5.68915700000000e+01,0.076000,387.4000,5416.00,0.298000,1237.00
"Kepler-1350 c",1.73000000,,3.860000,94.0540,3827.00,0.000000,730.00
"TOI-1410.01",3.10083009,1.25000000000000e+01,2.300000,565.5415,4635.00,0.000000,1236.70
"TOI-5110 b",11.98240037,9.21702380300000e+02,2.950000,15.1027,6160.00,0.745000,976.00
"GJ 229 A c",2.87000000,,1.990000,0.1899,3564.00,0.366000,188.10
"Kepler-341 c",1.70000000,,3.950000,237.4300,6012.00,0.000000,940.00
"TOI-791 c",12.94637271,1.86000000000000e+01,0.047000,4.1200,6294.00,0.028000,362.80
"Kepler-590 b",4.02000000,,1.290000,782.4150,6000.00,0.000000,1056.00
"HD 180902 b",13.50000000,,1.200000,4.7959,4961.00,0.107000,412.37
"Qatar-7 b",19.05530000,5.97520400000000e+02,0.502000,2886.2922,6387.00,0.000000,2053.00
"TOI-5624 e",3.24700000,8.90000000000000e+00,1.460000,21.9904,5327.00,0.000000,613.80
"Kepler-764 b",1.64000000,,4.150000,160.4570,5557.00,0.000000,875.00
"TOI-7166 b",2.01000000,,3.180000,1.0700,3099.00,0.000000,249.00
"TOI-6695 b",9.52763359,6.67439654700000e+01,0.410000,85.9385,6400.00,0.040000,599.00
"GJ 3998 b",1.39000000,,5.120000,48.0000,3726.00,0.000000,733.50
"Kepler-656 b",3.12000000,,1.790000,924.3740,5281.00,0.000000,1569.00
"KIC 8540376 c",2.40000000,,2.520000,,6474.00,,
"Kepler-751 b",2.46000000,,2.440000,39.0100,5387.00,0.000000,679.00
"Kepler-276 d",2.80000000,1.63000000000000e+01,0.760000,11.2740,5693.00,0.000000,489.00
"WASP-37 b",13.00200000,5.72070000000000e+02,1.530000,545.3338,5800.00,0.000000,1232.50
"TOI-1203 e",7.31000000,,0.592000,,5737.00,0.152000,
"Kepler-122 f",1.75000000,3.60000000000000e+01,36.900000,21.5240,5917.00,0.000000,543.00
"OGLE-2016-BLG-0263L b",13.00000000,1.30000000000000e+03,3.250000,,,,
"Kepler-397 c",6.18000000,,0.736000,1.8000,5307.00,0.000000,295.00
"Kepler-1503 b",2.27000000,,2.710000,5.6360,5069.00,0.000000,321.00
"TOI-1776 b",1.21612741,1.40000000000000e+00,4.130000,560.3349,5785.00,0.000000,1269.21
"Kepler-1781 b",2.38091029,,2.550000,239.1100,5568.00,0.000000,1003.00
"HAT-P-40 b",17.03768000,1.52558400000000e+02,0.150000,1747.4151,6080.00,0.000000,1770.00
"HD 81688 b",13.50000000,,1.170000,143.6043,4797.00,0.040000,958.66
"K2-19 d",1.04400000,6.20000000000000e+00,31.000000,404.0000,5350.00,0.440000,1258.00
"Kepler-1309 b",2.37000000,,2.560000,13.7700,5235.00,0.000000,491.00
"HD 169830 c",12.60000000,2.43742605328300e+03,6.700000,0.4856,6300.00,0.246000,241.03
"ZTF J1230-2655 b",13.78704626,7.02400779470000e+03,,17889.7450,10000.00,,2949.65
"TOI-2525 b",8.67575106,2.66975861880000e+01,0.225000,16.3643,5096.00,0.170000,512.97
"Kepler-57 c",2.19600000,6.86000000000000e+00,3.528714,48.5740,5187.90,0.072500,671.00
"Kepler-1300 b",1.37000000,,5.240000,149.4090,6130.00,0.000000,954.00
"K2-104 b",1.79000000,,3.700000,62.1000,3712.00,0.090000,798.00
"KOI-134 b",12.03844527,3.46432963630000e+02,1.090000,45.0000,6160.00,0.160000,659.00
"TOI-1768.01",3.45300000,,1.570000,240.8700,5994.00,,1566.00
"KMT-2023-BLG-2209L b",13.90000000,2.54262725600000e+02,0.520000,,,,
"HD 150706 b",13.30000000,7.72323029010000e+02,1.800000,0.0240,5961.00,0.380000,108.81
"HR 8799 e",13.11453000,3.17830000000000e+03,7.740000,0.0201,7400.00,0.150000,1150.00
"Kepler-770 b",2.30000000,,2.660000,27.7360,5598.00,0.000000,1171.00
"HD 95089 b",13.70000000,,0.856000,7.2989,4918.00,0.119000,458.34
"HIP 10090 c",13.90000000,2.70154145950000e+02,0.553000,1.9857,5661.00,0.188000,338.35
"Kepler-1600 c",1.94206512,,3.320000,84.7000,5119.00,0.000000,786.00
"TOI-1782.01",2.36800000,,2.570000,56.2500,4336.00,,697.84
"Kepler-855 b",8.35000000,,0.497000,405.1830,5835.00,0.000000,996.00
"KMT-2021-BLG-0748L b",14.30000000,1.43022783150000e+02,0.269000,,,,
"Kepler-24 e",2.78000000,2.62118000000000e+01,0.310000,81.5060,5897.00,0.000000,792.00
"Kepler-1435 b",0.86000000,,4.890000,893.8860,6356.00,0.000000,1331.00
"Kepler-1771 b",4.05537256,,1.280000,5.5100,5661.00,0.000000,391.00
"Kepler-338 b",2.44000000,3.06000000000000e+01,11.600000,256.6060,5923.00,0.040000,1005.00
"HD 5583 b",12.80000000,,4.810000,145.0268,4830.00,0.076000,964.55
"HD 188641 b",11.90000000,9.33303117155500e+03,30.400000,0.0285,5897.32,0.034000,114.36
"K2-39 b",6.27704000,2.86047000000000e+01,0.930000,1356.0000,4881.00,0.000000,1670.00
"OGLE-2019-BLG-0960L b",1.39000000,2.50000000000000e+00,5.120000,,,,
"Kepler-1872 b",2.38421141,,2.550000,241.2500,5223.00,0.000000,1005.00
"GSC 06214-00210 b",20.17620000,5.00000000000000e+03,3.350000,0.0000,4200.00,,2300.00
"K2-130 b",1.25000000,,5.910000,136.4000,4356.47,0.170000,1013.11
"HD 89839 b",12.80000000,1.74805623850000e+03,4.580000,0.1067,6314.00,0.185000,159.03
"Kepler-106 e",2.56000000,1.11700000000000e+01,3.100000,20.2940,5858.00,0.000000,531.00
"Kepler-430 c",1.75000000,,3.800000,9.0960,5884.00,0.000000,458.00
"Ross 508 b",1.83000000,,3.590000,1.2464,3071.00,0.330000,293.86
"Kepler-869 b",3.61000000,,1.480000,17.2340,5664.00,0.000000,494.00
"GJ 2126 b",13.60000000,,0.903000,0.2833,4159.00,0.850000,203.08
"WASP-46 b",13.15936600,6.07055300000000e+02,1.467000,1281.2408,5600.00,0.000000,1636.00
"Kepler-932 b",1.37000000,,5.240000,562.2170,5331.00,0.000000,1276.00
"HD 1605 b",13.80000000,,0.621000,2.9004,4915.00,0.095000,362.48
"Kepler-1206 b",1.64000000,,4.150000,588.0210,4877.00,0.000000,1314.00
"Kepler-520 b",1.66000000,,4.070000,59.7700,6112.00,0.000000,711.00
"Kepler-27 c",4.90000000,4.38587000000000e+03,,11.0670,5400.00,0.000000,481.00
"Kepler-1250 b",1.92000000,,3.380000,1866.1930,5717.00,0.000000,1431.00
"TOI-2141 b",3.14700000,2.01000000000000e+01,3.540000,47.3000,5635.00,0.210000,728.00
"GJ 317 b",13.30000000,7.94500000000000e+02,1.860000,0.0159,3496.00,0.082600,100.32
"Kepler-1851 b",3.90012032,,1.340000,85.7800,5982.00,0.000000,776.00
"K2-308 b",9.91600000,,0.398000,512.9234,6100.00,,1213.76
"KOINTREAU-1 b",12.40000000,3.36898111420000e+03,9.710000,,3551.00,,
"Kepler-350 b",1.85000000,1.69000000000000e+01,4.900000,257.7210,6186.00,0.000000,1037.00
"K2-414 c",1.92870000,,3.350000,56.1300,4343.00,,762.62
"K2-148 b",1.33000000,,5.440000,48.8000,4079.00,,733.87
"Kepler-633 b",1.63000000,,4.170000,454.5000,5899.00,0.000000,1021.00
"Kepler-61 b",2.15000000,,2.910000,1.6900,4017.00,0.250000,273.00
"TOI-4562 b",12.53000000,7.32000000000000e+02,2.060000,3.2011,6096.00,0.760000,318.00
"Kepler-1154 c",2.36000000,,2.580000,339.5730,6327.00,0.000000,1117.00
"Kepler-241 c",2.57000000,,2.310000,5.8800,4699.00,0.000000,397.00
"Kepler-863 b",2.90000000,,1.970000,117.8280,5678.00,0.000000,718.00
"CoRoT-35 b",18.83108758,3.49611247700000e+02,0.290000,1251.8629,6390.00,0.000000,1747.00
"Kepler-1127 b",1.96000000,,3.280000,160.7650,5664.00,0.000000,994.00
"Kepler-1234 b",2.81000000,,2.060000,40.1200,4967.00,0.000000,625.00
"HAT-P-27 b",11.43000000,1.97050000000000e+02,0.760000,336.0384,5316.00,0.000000,1091.99
"Kepler-1934 b",0.91307734,,5.070000,1835.6000,5925.00,0.000000,1700.00
"Kepler-1344 b",1.84000000,,3.560000,425.1690,5981.00,0.000000,1219.00
"Kepler-1124 b",1.28000000,,5.710000,50.7770,3658.00,0.000000,621.00
"Kepler-117 c",12.34100000,5.84780000000000e+02,1.740000,41.8630,6150.00,0.032300,704.00
"K2-97 b",13.45077684,1.74487795443000e+02,0.392000,114.1490,4673.00,0.207000,1566.00
"Kepler-1581 b",0.80000000,,4.690000,470.8620,6022.00,0.000000,1108.00
"TOI-206 b",1.30000000,,5.600000,117.7582,3383.00,,910.00
"BD+48 740 b",13.50000000,,1.210000,15.1044,4534.00,0.760000,538.94
"EPIC 212587672 b",1.26000000,,5.850000,,6004.00,,756.00
"OGLE-2016-BLG-1800L b",13.20000000,8.23175574130000e+02,1.970000,,,,
"HD 4308 b",4.12000000,,1.250000,68.8078,5686.00,0.000000,799.37
"Kepler-1403 b",2.14000000,,2.930000,699.6440,6060.00,0.000000,1238.00
"TOI-707 b",2.41600000,,2.500000,10.9718,5424.00,,491.70
"Kepler-546 b",7.00000000,,0.626000,690.1300,5967.00,0.000000,1258.00
"Kepler-299 d",1.86000000,,3.520000,69.9600,5617.00,0.000000,729.00
"TOI-283 b",2.34000000,6.54000000000000e+00,2.810000,30.4000,5213.00,0.000000,661.00
"TOI-205 b",2.50121142,,2.390000,1740.9224,6302.74,,1799.55
"Kepler-236 b",1.57000000,,4.390000,15.6320,3750.00,0.000000,469.00
"HIP 8541 b",12.60000000,2.45172833159800e+03,6.730000,1.4683,4672.00,0.360000,305.12
"HD 92788 c",13.00000000,,2.920000,0.0095,5744.00,0.460000,91.27
"Kepler-310 b",1.19000000,,5.900000,45.9700,5797.00,0.000000,665.00
"Kepler-1886 b",2.58158428,,2.290000,26.6800,5745.00,0.000000,580.00
"HD 207832 c",14.00000000,,0.465000,0.1732,5710.00,0.270000,179.84
"HAT-P-49 b",17.82231000,6.99226000000000e+02,0.750000,4392.0300,6820.00,0.000000,2131.00
"TOI-6019 b",12.30000000,1.49000000000000e+02,0.440000,249.6501,5561.00,0.480000,1095.00
"MOA-2007-BLG-400L b",13.50000000,5.40308291900000e+02,1.210000,,,,34.00
"16 Cyg B b",13.50000000,,1.260000,0.4540,5750.00,0.680000,228.76
"OGLE-2019-BLG-1492L b",6.79000000,3.71000000000000e+01,0.651000,,,,
"Kepler-522 b",6.91000000,,0.636000,63.8550,6392.00,0.000000,761.00
"Kepler-1467 b",3.30000000,,1.670000,7.9170,5332.00,0.000000,411.00
"Kepler-758 c",1.69000000,,3.980000,1211.8220,6228.00,0.000000,1372.00
"Kepler-19 b",2.20900000,6.10000000000000e+00,3.100000,87.6000,5541.00,0.410000,851.00
"Kepler-1102 b",2.66000000,,2.210000,22.9810,5724.00,0.000000,546.00
"HD 72659 c",12.10000000,6.16587109580000e+03,19.100000,0.0051,5929.00,0.114000,71.91
"HD 174205 b",13.00000000,,3.340000,82.6990,4308.00,0.400000,821.72
"Kepler-617 b",1.32000000,,5.500000,100.2950,3712.00,0.000000,750.00
"Kepler-371 c",1.78000000,,3.720000,17.0630,5666.00,0.000000,443.00
"Kepler-265 e",2.59000000,,2.280000,10.3540,5835.00,0.000000,476.00
"KMT-2016-BLG-0212L b",12.20000000,5.70000000000000e+03,17.200000,,,,
"Kepler-1610 c",2.09000000,,3.020000,8.3400,5295.00,0.000000,433.00
"Qatar-2 b",14.05600000,7.92635000000000e+02,1.573000,447.4134,4645.00,0.000000,1344.00
"HD 222076 b",13.50000000,,1.110000,2.5381,4806.00,0.080000,346.88
"HD 98736 b",13.30000000,,1.730000,0.1734,5271.00,0.226000,179.53
"K2-338 b",1.03000000,,5.430000,,4558.00,,783.00
"HD 40979 b",12.90000000,,3.800000,2.7022,6165.00,0.250000,354.69
"TOI-286 b",1.42000000,4.53000000000000e+00,8.630000,889.5827,5152.00,0.000000,979.00
"Kepler-750 c",1.62000000,,4.210000,778.5920,6160.00,0.000000,1537.00
"Kepler-282 b",1.01000000,,5.390000,195.9350,5602.00,0.000000,817.00
"Kepler-278 c",3.26800000,3.49000000000000e+01,5.500000,54.3000,4965.00,0.616000,492.00
"GJ 180 d",2.66000000,,2.210000,0.1362,3371.00,0.140000,187.94
"HD 1461 c",2.23000000,,2.770000,99.8365,5765.00,0.305000,892.87
"Kepler-1248 b",1.18000000,,5.890000,271.2500,6149.00,0.000000,1035.00
"K2-275 b",2.34000000,,2.610000,161.2476,4841.00,,1166.00
"HD 74156 b",13.50000000,,1.190000,32.0951,6068.00,0.636000,679.63
"Kepler-267 c",2.13000000,,2.950000,17.5830,4258.00,0.000000,484.00
"K2-86 b",1.96000000,,3.280000,78.0000,5482.00,,830.49
"V830 Tau b",14.00000000,2.22481000000000e+02,0.446000,370.0414,4250.00,0.000000,1213.95
"Kepler-377 c",2.06000000,,3.080000,49.8550,5949.00,0.000000,677.00
"K2-195 c",2.57581891,,2.300000,,5712.00,,
"Proxima Cen d",0.69200000,,4.310000,1.8140,2900.00,0.000000,282.00
"HD 15906 b",2.24000000,,2.760000,33.1400,4757.00,0.110000,668.00
"HD 196050 b",12.90000000,1.49379351290000e+03,3.820000,0.2591,5879.00,0.200000,207.52
"K2-201 c",3.28568401,,1.670000,,5507.00,,
"TOI-1279 b",2.66146528,1.06000000000000e+01,3.050000,74.7359,5457.00,0.000000,759.00
"K2-326 b",2.28000000,,2.700000,268.1283,3924.00,,1114.00
"Kepler-606 b",3.31000000,,1.670000,71.8430,6161.00,0.000000,683.00
"Kepler-1575 b",1.31000000,,5.550000,803.6790,5667.00,0.000000,1312.00
"Kepler-729 b",3.58000000,,1.500000,1089.5490,5633.00,0.000000,1273.00
"Kepler-1995 b",4.28000000,,1.180000,4.6600,5029.00,0.000000,375.00
"Kepler-1434 b",1.11000000,,5.670000,925.2890,6291.00,0.000000,1320.00
"Kepler-82 c",5.34000000,1.39000000000000e+01,0.494000,8.0350,5401.00,0.007000,450.00
"Kepler-1538 b",2.82000000,,2.050000,1.9890,5837.00,0.000000,346.00
"K2-187 b",1.20000000,,5.950000,2367.2520,5438.00,,1815.00
"Kepler-464 b",3.30000000,,1.670000,495.0050,5933.00,0.000000,1163.00
"61 Vir b",2.11000000,,2.980000,318.8418,5577.00,0.120000,1177.85
"Kepler-1782 b",2.22927435,,2.780000,86.0000,4931.00,0.000000,773.00
"Kepler-1580 b",2.11000000,,2.980000,83.0880,6228.00,0.000000,733.00
"Kepler-198 d",1.53000000,,4.540000,1444.5160,5636.00,0.000000,1562.00
"Kepler-1737 b",5.39500000,,0.878000,5.0900,5043.00,0.000000,383.00
"Kepler-134 c",1.26000000,,5.850000,128.0860,5983.00,0.000000,892.00
"TOI-1860 b",1.31000000,,5.550000,876.7030,5752.00,,1885.00
"Kepler-132 c",1.28000000,,5.710000,271.0000,6003.00,0.000000,1069.00
"GJ 3942 b",2.57000000,,2.310000,20.5207,3867.00,0.121000,590.00
"Kepler-26 b",2.78000000,5.12000000000000e+00,1.260000,7.6000,3914.00,0.021000,431.00
"Kepler-1589 b",1.09000000,,5.600000,5228.7850,6166.00,0.000000,2102.00
"K2-343 c",2.02000000,,3.160000,,3804.00,,465.00
"GJ 581 c",2.50000000,6.81000000000000e+00,2.390000,2.3985,3500.00,0.032000,346.13
"HD 196885 A b",13.20000000,,1.960000,0.4271,6254.00,0.480000,224.21
"TOI-5592 b",17.14974047,2.85727737893000e+02,0.220000,1712.0000,6237.00,0.062000,1789.00
"Kepler-188 c",3.19000000,,1.740000,257.3480,6021.00,0.000000,1025.00
"HIP 65407 c",13.90000000,,0.510000,6.5252,5460.00,0.120000,457.04
"KOI-1831 d",1.13000000,2.23000000000000e+00,9.950000,11.8000,5233.00,0.000000,475.00
"Kepler-279 c",4.30000000,4.94000000000000e+01,0.300000,60.1570,6689.45,0.000000,774.00
"TOI-1444 b",1.41792246,3.58000000000000e+00,6.840000,5028.6263,5460.00,0.000000,2130.02
"Kepler-329 c",1.93000000,,3.350000,11.8690,4257.00,0.000000,402.00
"Kepler-487 d",2.77513568,,2.090000,550.8000,5422.00,0.000000,1226.00
"HD 43691 b",13.20000000,,1.940000,55.8272,6093.00,0.079600,761.79
"Kepler-797 b",2.17000000,,2.880000,90.1000,5680.00,0.000000,605.00
"K2-401 b",2.26200000,,2.730000,,4213.00,,
"Kepler-199 c",3.25000000,,1.700000,7.8850,5644.00,0.000000,420.00
"HATS-8 b",9.78545700,4.38605400000000e+01,0.259000,510.8195,5679.00,0.376000,1324.00
"KMT-2019-BLG-1367L b",1.85000000,4.08000000000000e+00,3.540000,,,,
"KOI-1783.01",8.86000000,7.10000000000000e+01,0.560000,5.7000,5922.00,0.000000,412.00
"KELT-16 b",15.86073500,8.74032500000000e+02,1.200000,6992.0328,6236.00,0.000000,2453.00
"Kepler-1681 b",2.55321772,,2.330000,5.3300,5756.40,0.000000,442.00
"Kepler-780 b",0.89000000,,4.990000,4572.5600,5769.00,0.000000,2099.00
"Kepler-1572 b",0.94000000,,5.150000,583.5230,5618.00,0.000000,1293.00
"Kepler-1389 b",1.77000000,,3.750000,1.8710,5078.00,0.000000,300.00
"TOI-544 c",4.92000000,,0.992000,,4169.00,0.320000,
"Kepler-251 d",2.77000000,,2.090000,17.4770,5526.00,0.000000,536.00
"Kepler-127 d",2.64000000,,2.230000,31.5190,6106.00,0.030000,590.00
"CoRoT-12 b",16.14000000,2.91438000000000e+02,0.411000,661.1334,5675.00,0.070000,1442.00
"SWEEPS-4 b",9.07900000,1.20770000000000e+03,8.870000,,,,
"Kepler-1256 b",1.49000000,,4.700000,211.5490,6129.00,0.000000,933.00
"G 264-012 b",1.39000000,,5.120000,20.5000,3326.00,,587.00
"GJ 143 b",2.61000000,2.27000000000000e+01,7.000000,7.0423,4640.00,0.188000,422.00
"K2-10 b",3.77300000,2.52000000000000e+01,2.360000,42.1000,5533.00,0.310000,649.00
"Kepler-182 b",2.58000000,,2.300000,239.7870,6250.00,0.000000,935.00
"TOI-1659.01",2.25500000,,2.740000,268.4400,5977.00,,1031.14
"Kepler-19 d",5.06000000,2.25000000000000e+01,0.954000,,5544.00,0.050000,
"TOI-237 c",1.20600000,,5.950000,16.0000,3226.00,,515.00
"KMT-2016-BLG-2142L b",12.20000000,4.92300000000000e+03,14.900000,,,,
"Kepler-564 b",4.63000000,,1.070000,389.4040,5626.00,0.000000,1129.00
"Kepler-878 b",1.93000000,,3.350000,27.0090,5044.00,0.000000,501.00
"Kepler-228 b",1.53000000,,4.540000,863.7760,6043.00,0.000000,1360.00
"HD 6434 b",14.20000000,,0.299000,57.2458,5769.00,0.170000,786.83
"CoRoT-7 b",1.68135000,4.07660517710000e+00,9.355000,1773.7952,5275.00,0.000000,1756.00
"TOI-2969 b",12.32987877,3.68680952120000e+02,1.100000,382.0000,4738.00,0.000000,1186.00
"Kepler-610 c",3.30000000,,1.670000,2.2970,5943.00,0.000000,318.00
"Kepler-1473 b",1.19000000,,5.900000,111.0110,6046.00,0.000000,783.00
"Kepler-447 b",18.49000000,4.35410000000000e+02,0.400000,119.0390,5493.00,0.123000,882.00
"Kepler-290 d",0.86000000,,4.890000,1503.7900,5142.00,0.000000,1589.00
"HD 34445 e",4.26000000,,1.190000,27.8395,5836.00,0.090000,637.76
"Kepler-384 c",1.13000000,,5.750000,40.0990,5577.00,0.000000,531.00
"HD 120084 b",12.70000000,2.03410180480000e+03,5.460000,3.0851,4879.00,0.483000,369.24
"Kepler-468 b",13.34000000,,,11.2410,5498.00,0.000000,484.00
"Kepler-191 b",1.34000000,,5.390000,50.2000,5282.00,0.000000,722.00
"GJ 680 b",12.00000000,7.97749301570000e+03,25.400000,0.0003,3563.00,0.381000,36.57
"Kepler-917 b",1.91000000,,3.400000,228.1100,5418.00,0.000000,991.00
"TOI-1224 c",2.88400000,,1.990000,1.9952,3326.00,0.000000,303.12
"TOI-1422 b",3.83000000,9.50000000000000e+00,0.930000,90.5151,5840.00,0.200000,870.00
"Kepler-980 b",2.67000000,,2.200000,170.1370,5935.00,0.000000,845.00
"HATS-59 b",12.62133400,2.56170980000000e+02,0.700000,269.0000,5670.00,0.129000,1128.00
"HD 73267 c",12.80000000,1.63077755631700e+03,4.270000,0.0049,5387.00,0.089000,69.53
"Kepler-580 b",2.57000000,,2.310000,24.0630,4298.00,0.000000,558.00
"HD 152843 c",5.94000000,9.67000000000000e+00,0.253000,133.1000,6310.00,0.074000,253.08
"HD 217786 c",2.61000000,,2.260000,1308.8643,5966.00,0.399000,1663.13
"HR 8799 c",13.00000000,3.00000000000000e+03,7.500000,0.0034,7204.58,0.500000,1200.00
"TOI-4342 b",2.32900000,7.30000000000000e+00,3.180000,27.8000,3866.00,0.000000,639.00
"Kepler-193 c",2.75000000,,2.110000,16.0260,6335.00,0.000000,595.00
"K2-269 b",1.57000000,,4.390000,1041.5274,6209.00,,1429.00
"KOI-12 b",13.78707000,3.49613000000000e+02,0.733000,196.5070,6635.00,0.340000,911.00
"Kepler-1773 b",3.50469499,,1.540000,39.2000,6183.00,0.000000,623.00
"NGTS-16 b",14.57167491,2.11991547469000e+02,0.380000,480.0000,5550.00,0.000000,1177.00
"Kepler-637 b",4.75000000,,1.040000,63.8050,6096.00,0.000000,1002.00
"HD 113337 c",12.10000000,6.29967685514700e+03,19.500000,0.0926,6774.00,0.164000,153.36
"K2-30 b",11.64615100,1.84023570000000e+02,0.640000,299.0000,5425.00,0.000000,1092.00
"Kepler-1675 b",3.12483349,,1.790000,11.8000,5853.19,0.000000,465.00
"Gaia22dkvL b",14.10000000,1.87836588537000e+02,0.368000,,,,
"Kepler-1788 b",2.37850461,,2.550000,197.8100,4786.00,0.000000,956.00
"Kepler-497 b",6.04000000,,0.758000,1129.2720,5834.00,0.000000,1210.00
"Kepler-179 c",2.00000000,,3.200000,115.9830,5302.00,0.000000,810.00
"HD 87646 b",12.40000000,,11.400000,665.8120,5770.00,0.050000,1012.70
"KMT-2024-BLG-0404L c",4.33000000,1.73000000000000e+01,1.170000,,,,
"Kepler-139 e",13.70000000,3.78000000000000e+02,0.808000,0.0991,5622.00,0.013121,154.06
"HD 29985 b",12.80000000,1.73947487151100e+03,4.560000,0.0008,4678.00,0.261000,46.73
"Kepler-668 b",2.70000000,,2.160000,77.6190,5352.00,0.000000,790.00
"Kepler-56 d",12.80000000,,4.670000,1.7204,4819.44,0.200000,324.75
"Kepler-205 b",1.51000000,,4.610000,102.5620,4321.00,0.000000,757.00
"Kepler-1156 b",1.32000000,,5.500000,83.0140,5778.00,0.000000,787.00
"HR 858 c",1.97900000,3.80000000000000e+00,2.900000,512.0000,6354.00,0.000000,1309.00
"Kepler-989 b",2.21000000,,2.810000,74.3500,5074.00,0.000000,805.00
"HD 165155 b",13.20000000,,2.190000,0.5482,5426.00,0.200000,239.90
"K2-351 b",2.54000000,,2.340000,,5769.00,,934.00
